season,episode,title,airdate,runtime,rating,character,sentence,emotion_label,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_neutral,emotion_sadness,emotion_surprise,sentiment_label,sentiment_negative,sentiment_neutral,sentiment_positive
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Hannes,I can't see 'em getting through.,surprise,0.05098,0.114527,0.01344,0.005928,0.039829,0.05619,0.719105,negative,0.825503,0.162945,0.011552
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,"Then you're not actually prepared to fight them at all?! Nope! Wh-What?! Then drop the ""Garrison Regiment"" name for ""Wall Construction Squad"" instead! Not a bad idea! But you gotta understand, Eren.",surprise,0.229837,0.187377,0.012512,0.005564,0.025851,0.012855,0.526004,negative,0.81568,0.16107,0.02325
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Hannes,"If a soldier's doing his job, things have seriously gone to hell.",anger,0.42418,0.376856,0.075797,0.001629,0.069306,0.047544,0.004688,negative,0.931024,0.063493,0.005483
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Hannes,It's better when everyone's calling us useless freeloaders; it means peaceful times for us all.,joy,0.041735,0.049763,0.001443,0.461081,0.428574,0.014767,0.002638,positive,0.166309,0.308331,0.52536
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,"Sure, we can stay inside the walls our entire lives and do nothing but eat and sleep! But that basically That basically makes us cattle! Man, you're one plucky kid, all right! For someone who's totally helpless! Right, Hannes?! Huh? Y-Yeah.",joy,0.012547,0.015366,0.001236,0.895415,0.065341,0.002236,0.00786,negative,0.74315,0.221765,0.035085
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Unknown,Hey! Eren! What a weirdo! Wait Don't tell me he wants to join the Scout Regiment? Eren.,disgust,0.117413,0.609954,0.018131,0.020766,0.027284,0.016488,0.189965,negative,0.82584,0.157823,0.016337
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Mikasa Ackerman,I'd forget about the Scout Regiment if I were you.,neutral,0.012173,0.031608,0.009653,0.003776,0.855503,0.023498,0.063789,neutral,0.410584,0.485704,0.103712
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,What?! You think the Scout Regiment is a joke too?! It's not about what I think.,surprise,0.096409,0.050295,0.00498,0.006635,0.017858,0.00544,0.818383,negative,0.873212,0.117097,0.009692
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,"The Scout Regiment is back! They're gonna open the front gate! Let's go see the heroes return, Mikasa! Ohm! Damn! I can't see! They're the only ones who made it back? Everyone else must've gotten eaten.",surprise,0.071693,0.063465,0.010442,0.020533,0.018748,0.037352,0.777767,positive,0.160327,0.382144,0.457529
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Crowd,This is what they get for going outside the walls.,neutral,0.026444,0.035557,0.001224,0.003375,0.913797,0.002314,0.01729,negative,0.706879,0.279129,0.013992
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Unknown,Moses! Moses! Excuse me I don't see my son Moses anywhere Do you know where he is? This is Moses' mother.,anger,0.490646,0.08241,0.127876,0.012805,0.089477,0.036315,0.160471,neutral,0.446991,0.487679,0.06533
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Unknown,Go get it.,anger,0.504125,0.039632,0.015653,0.012966,0.404538,0.011861,0.011224,positive,0.031305,0.42575,0.542945
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Unknown,It's all we could retrieve.,neutral,0.010266,0.004121,0.001684,0.013823,0.922271,0.005666,0.04217,neutral,0.230082,0.698142,0.071776
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Keith Shadis,"But my son He was helpful, yes? Even if he didn't achieve direct greatness surely my son's death helped humanity fight back, yes?! Of course! No On this latest scouting mission, we No Just like all the other missions we achieved nothing at all! My incompetence has done nothing but needlessly send soldiers to their deaths! We haven't found out anything about them! Talk about gruesome.",disgust,0.05353,0.803841,0.093389,0.001292,0.01551,0.011736,0.020702,negative,0.746046,0.19597,0.057984
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Crowd,You can say that again.,neutral,0.012021,0.022412,0.00337,0.006651,0.938203,0.006639,0.010705,negative,0.506746,0.430857,0.062397
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Crowd,Our taxes are basically going to feeding and fattening those things up now.,neutral,0.09777,0.252291,0.003386,0.005022,0.610844,0.024993,0.005695,negative,0.724525,0.258741,0.016734
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,"What the hell, you little punk?! H-Hey! What are you doing, Mikasa?! Hey! Get back here, you! Mikasa! Enough already! What's the big idea?! Now the firewood's all over the place! Eren.",anger,0.589623,0.120177,0.013007,0.028938,0.014263,0.027432,0.206561,negative,0.840087,0.127586,0.032327
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Mikasa Ackerman,Have you changed your mind about joining the Scout Regiment? Help pick this up.,neutral,0.011122,0.006554,0.011853,0.004753,0.939529,0.012104,0.014086,neutral,0.067532,0.887086,0.045381
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,It's not that bad of a mess.,disgust,0.02848,0.828477,0.012944,0.00292,0.081809,0.04291,0.002461,negative,0.527979,0.381989,0.090032
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Mikasa Ackerman,We're home.,neutral,0.011156,0.019043,0.006624,0.013579,0.812884,0.062631,0.074083,positive,0.006336,0.278257,0.715407
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Carla Yeager,Welcome back.,neutral,0.009095,0.007985,0.010361,0.131806,0.777831,0.012082,0.05084,positive,0.008128,0.128455,0.863417
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Carla Yeager,"Wow, Eren! You actually worked hard! Yeah What do you want? Your ear's red.",surprise,0.007453,0.008068,0.001486,0.004534,0.008292,0.002558,0.96761,positive,0.009618,0.04477,0.945612
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Carla Yeager,That shows that you're lying.,disgust,0.419938,0.499359,0.004236,0.001189,0.049049,0.019813,0.006416,negative,0.826577,0.15987,0.013553
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Carla Yeager,"You had Mikasa help you, didn't you? Oh? You're leaving, Dad? Is it for work? Yes.",surprise,0.165655,0.103816,0.088323,0.015385,0.101519,0.163073,0.362229,neutral,0.083916,0.830336,0.085748
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Grisha Yeager,Some checkups in the interior.,neutral,0.010258,0.129121,0.018414,0.022155,0.745148,0.015134,0.059769,neutral,0.023396,0.909625,0.06698
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Grisha Yeager,It'll take a couple of days.,neutral,0.004491,0.003093,0.00307,0.010603,0.957445,0.008173,0.013125,neutral,0.144064,0.816725,0.039211
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Mikasa Ackerman,Eren says he wants to join the Scout Regiment.,sadness,0.003974,0.004821,0.002188,0.080207,0.034205,0.870396,0.004209,neutral,0.005445,0.896054,0.098501
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Carla Yeager,"M-Mikasa! I told you not to say anything! Eren! What are you thinking?! Do you have any idea how many people have died outside the walls?! - Y-Yeah, I know! - Then! Eren.",surprise,0.240518,0.064307,0.030013,0.020629,0.027726,0.031081,0.585726,negative,0.679337,0.290342,0.030321
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,"Why do you want to go out there? I want to know what the outside world is like! I don't want to live my entire life in ignorance inside the walls! Plus If no one else is willing to take their place, then the lives of all who've died will be for nothing! I see.",anger,0.723302,0.12255,0.015807,0.007499,0.067456,0.023069,0.040316,negative,0.874679,0.116641,0.008679
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Grisha Yeager,My boat's about to leave.,fear,0.036552,0.026566,0.386728,0.021016,0.334583,0.12137,0.073187,neutral,0.452353,0.497082,0.050565
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Grisha Yeager,I better get going.,anger,0.305038,0.194579,0.078426,0.013849,0.162537,0.22984,0.015731,neutral,0.108413,0.517476,0.374111
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Carla Yeager,"Hold on, dear! Talk some sense into Eren! Carla.",anger,0.686041,0.100142,0.082185,0.011,0.06762,0.037724,0.015288,neutral,0.158076,0.561558,0.280366
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Grisha Yeager,Words can't hold back human curiosity.,neutral,0.025729,0.031041,0.008298,0.003106,0.909637,0.005072,0.017118,neutral,0.192083,0.548226,0.259691
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Grisha Yeager,Eren.,neutral,0.01244,0.396547,0.024341,0.009505,0.467127,0.072241,0.017799,neutral,0.031069,0.837708,0.131223
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Grisha Yeager,"When I get back, I'll show you the basement that I've kept secret all this time.",neutral,0.034722,0.047035,0.016162,0.006971,0.875355,0.016586,0.003169,neutral,0.157511,0.673081,0.169408
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,R-Really?! Take care! Just forget it.,surprise,0.210708,0.052101,0.009835,0.009339,0.027661,0.009653,0.680703,negative,0.474521,0.447955,0.077524
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,"Joining the Scout Regiment is a stupid idea! Huh?! Stupid?! People who don't mind living like livestock are the stupid ones, if you ask me! Eren! Mikasa.",anger,0.647525,0.321033,0.004967,0.002657,0.007362,0.008955,0.007501,negative,0.902482,0.088097,0.009421
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Carla Yeager,He gets himself into trouble so easily.,neutral,0.096924,0.303036,0.036163,0.015934,0.504674,0.034863,0.008406,negative,0.85355,0.135963,0.010487
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Carla Yeager,"If anything ever happens, you need to be there for each other! Mm.",neutral,0.090101,0.039926,0.020338,0.030756,0.77935,0.022052,0.017477,neutral,0.096871,0.49691,0.406218
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Armin Arlert,"What's the matter, heretic?! If you don't like it, let's see you hit back! Y-Yeah, right! That would be stooping to your level! Say what?! You know I'm right! That's why you have to resort to violence! Because you can't argue back! Which means you concede defeat to me, does it not?! Shut up, smart-ass! Stop that! It's Eren! - That Idiot's back for more?! - Does he want his ass kicked?! We'll tear you a new one! M-Mikasa's with him! S-Screw this! Let's get outta here! One look at me and they ran off! No, it was Mikasa they saw Oww! Hey! You Okay.",anger,0.903861,0.051149,0.011421,0.005479,0.007931,0.007493,0.012665,negative,0.854335,0.121759,0.023905
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,Armin?! I can get up on my own Oh.,surprise,0.027525,0.028833,0.010356,0.02256,0.212182,0.114009,0.584535,positive,0.039868,0.459078,0.501054
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Armin Arlert,I said humanity needs to venture into the outside world at some point and then they beat me up and called me a heretic.,anger,0.531229,0.197402,0.034339,0.00335,0.184399,0.042636,0.006645,negative,0.819636,0.169698,0.010666
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Armin Arlert,"Damn Why does everyone look down on people just for wanting to go outside?! Well, because we've had a hundred years of peace by staying inside the walls.",anger,0.525984,0.213988,0.006412,0.004673,0.037746,0.015241,0.195956,negative,0.845688,0.140124,0.014188
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Armin Arlert,They're worried that going outside carelessly will invite them inside the walls.,fear,0.026414,0.004341,0.87633,0.004786,0.061541,0.009109,0.017479,negative,0.643196,0.345474,0.01133
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Armin Arlert,The royal government's policies have made having any interest in the outside world a taboo.,disgust,0.066441,0.798572,0.043492,0.001694,0.07166,0.016728,0.001412,negative,0.757325,0.230669,0.012006
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,It's our lives! We can risk 'em if we want! Absolutely not.,anger,0.439501,0.028639,0.320778,0.01196,0.172041,0.012552,0.01453,neutral,0.341413,0.534467,0.12412
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Mikasa Ackerman,Forget about it.,anger,0.464872,0.334664,0.004382,0.003672,0.172637,0.015319,0.004454,negative,0.541075,0.405141,0.053783
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,"Which reminds me, I can't believe you told my parents! Huh? I never agreed to help.",surprise,0.06398,0.032675,0.011978,0.005348,0.014342,0.014703,0.856974,negative,0.936613,0.058446,0.004942
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Armin Arlert,"So, what did they say? They're less than pleased.",joy,0.015857,0.011902,0.000715,0.709898,0.160485,0.022325,0.078818,negative,0.898218,0.095368,0.006414
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,It figures.,neutral,0.010831,0.007989,0.001619,0.006608,0.939291,0.010894,0.022767,neutral,0.097827,0.761504,0.140669
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Armin Arlert,"Indeed, I think people are crazy if they think we'll be safe inside these walls forever.",surprise,0.201874,0.171739,0.014542,0.011878,0.293288,0.010475,0.296204,negative,0.897331,0.093186,0.009483
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,"Mommy! Just because the walls haven't fallen for a hundred years doesn't guarantee that they won't fall today And yet Wh-What was that?! An explosion?! - That way! - Did something fall?! I'm not really sure Hey, Armin! What is it?! What do you see?! It can't be! Th-That wall is fifty meters high! It's one of them A Titan! L-it opened a hole in the wall They're inside! The Titans have gotten inside! We need to run too! Eren! My house is in that direction! Mom! Mikasa! It's all over Countless Titans are going to overrun the city! It couldn't have hit our home! Just around this corner our house is standing there, like always! Mom! Mom! - Eren! - Mikasa! Grab that end! We gotta move this pillar! Hurry, Mikasa! I know! The Titans have gotten inside, haven't they? Eren! Take Mikasa and run away! Hurry! I want to! So hurry and get out of there! The debris has crushed my legs Even if I could get out, I wouldn't be able to run.",surprise,0.13065,0.029562,0.031928,0.012652,0.023797,0.025255,0.746156,negative,0.467753,0.443763,0.088484
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Carla Yeager,You understand what that means.,neutral,0.017005,0.013958,0.003548,0.008062,0.934533,0.005061,0.017834,neutral,0.056207,0.836489,0.107304
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Carla Yeager,"I'll carry you, then! Why don't you ever listen to your mother?! You can at least do this one last thing! Mikasa! No No! If you don't go, all three of us will Hannes! Take the children and get out of here! Don't go underestimatin' me, Carla.",anger,0.756781,0.029701,0.129247,0.011245,0.025912,0.022719,0.024396,negative,0.543376,0.343306,0.113317
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Carla Yeager,"I'm gonna slaughter these Titans and save all three of ya! Wait! Don't fight them! Yeah, I could save those two for sure.",anger,0.667732,0.03322,0.15193,0.020898,0.076464,0.030492,0.019264,positive,0.14916,0.292702,0.558138
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Hannes,But now I'm finally going to repay the favor I owe! Hey! Mr.,joy,0.032878,0.008122,0.001728,0.693224,0.079576,0.033499,0.150973,positive,0.004917,0.075913,0.91917
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Carla Yeager,"Hannes! What are you doing?! - Thank you - Hey! Mom's still! Eren! Mikasa! You have to survive! Don't go Stop! Humanity was suddenly reminded that day of the terror of being at their mercy of the humiliation of being trapped inside a cage Your dreams are where your heart is They're more fragile than life itself Over and over you cast them aside, only to find more Now, rest in peace Pounding impulses defile the things we wish for and the more we forget the more we remember again In this beautiful, cruel world all I can do is ask why we're still alive Oh, with our strength and our weakness what are we going to protect if there's no sense to anything anymore? Shiganshina falls.",fear,0.160313,0.012514,0.725397,0.010609,0.015169,0.04935,0.026649,positive,0.067819,0.284942,0.647238
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Narrator,"Prayers, screams, and death are all that humanity is allowed.",neutral,0.039977,0.035569,0.028227,0.022064,0.707845,0.161835,0.004484,negative,0.887284,0.103895,0.008821
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Narrator,"Amid this, Eren alone swears revenge in his small heart.",anger,0.739924,0.179369,0.00901,0.001193,0.037789,0.03113,0.001586,negative,0.576826,0.388585,0.034589
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Narrator,"Over a century ago, beings that prey on humans suddenly appeared.",disgust,0.044031,0.346847,0.109598,0.004077,0.265886,0.005834,0.223726,neutral,0.280077,0.684031,0.035892
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Narrator,Their absolutely overwhelming strength quickly pushed humanity to the brink of extinction.,fear,0.016871,0.007346,0.878512,0.001855,0.063706,0.008401,0.023308,negative,0.863362,0.115953,0.020685
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Narrator,"The surviving humans constructed three walls: Maria, Rose, and Sina, which brought them a century of peace.",neutral,0.011403,0.011782,0.000744,0.05382,0.910158,0.005684,0.00641,positive,0.008174,0.384579,0.607247
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Eren Yeager,"However Unknown are the names of the flowers that have been trampled Birds have fallen to the earth and long for the wind Prayers won't solve anything Only the will to fight can change the here and now! O pigs who laugh at the resolve to walk over corpses to move forward Livestock complacency? False prosperity? Give us the freedom of dying, starving wolves! The humiliation of being caged is what triggers us to fight back We hunters slaughter prey beyond the castle walls, consumed with surging bloodlust, as our crimson bows and arrows pierce scarlet holes into the twilight Till that time I had been a wretched soul, and wholly giv'n to greed! Now, as thou see'st, I'm punished for it here! What avarice doth is here made manifest, in this purgation of converted souls! Nor hath this Mount a penalty more bitter! Stop! Let me go! O Avarice! Thou hast to thyself so drawn my race, that ev'n for its own flesh it careth not! What more canst thou do with us?! O Avarice! Thou hast to thyself Eren! What are you doing?! We were so close to saving Mom! Why couldn't you mind your own business?! - We were so close to saving her! - Knock it off, dammit! Eren! Eren.",anger,0.783053,0.116993,0.029307,0.004327,0.017665,0.04426,0.004394,negative,0.829766,0.159647,0.010587
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Hannes,You couldn't save your mother because you lacked the strength.,sadness,0.218104,0.199308,0.033315,0.002185,0.257735,0.280867,0.008485,negative,0.894726,0.098724,0.00655
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Hannes,And I I couldn't stand up to the Titan because I lacked the courage! I'm sorry.,sadness,0.024758,0.021757,0.10079,0.002919,0.022561,0.791396,0.035819,negative,0.915398,0.076507,0.008095
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Narrator,It's happened again Hurry! To the inner gate! Escape aboard the boats there! Hurry! Before you get eaten! City districts like Shiganshina that stick out in vital spots along the wall serve to attract the Titans and streamline security costs and troop numbers.,neutral,0.240408,0.023392,0.033122,0.204174,0.274837,0.041128,0.182938,neutral,0.223001,0.634586,0.142414
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Narrator,"Performing true to its role as a Titan target, Shiganshina had but one inner gate through which its citizens could flee.",neutral,0.013613,0.014179,0.009989,0.003231,0.938559,0.010994,0.009436,neutral,0.118901,0.831328,0.049771
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Unknown,"Discard your belongings! Let as many people on as possible! Sit, Armin.",anger,0.877146,0.04107,0.03709,0.003605,0.028585,0.008737,0.003767,neutral,0.100162,0.673468,0.22637
