season,episode,title,airdate,runtime,rating,character,sentence
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,"The Scout Regiment is back! They're gonna open the front gate! Let's go see the heroes return, Mikasa! Ohm! Damn! I can't see! They're the only ones who made it back? Everyone else must've gotten eaten."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Keith Shadis,"But my son He was helpful, yes? Even if he didn't achieve direct greatness surely my son's death helped humanity fight back, yes?! Of course! No On this latest scouting mission, we No Just like all the other missions we achieved nothing at all! My incompetence has done nothing but needlessly send soldiers to their deaths! We haven't found out anything about them! Talk about gruesome."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,"What the hell, you little punk?! H-Hey! What are you doing, Mikasa?! Hey! Get back here, you! Mikasa! Enough already! What's the big idea?! Now the firewood's all over the place! Eren."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Mikasa Ackerman,Have you changed your mind about joining the Scout Regiment? Help pick this up.
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Carla Yeager,"Wow, Eren! You actually worked hard! Yeah What do you want? Your ear's red."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Carla Yeager,"You had Mikasa help you, didn't you? Oh? You're leaving, Dad? Is it for work? Yes."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Carla Yeager,"M-Mikasa! I told you not to say anything! Eren! What are you thinking?! Do you have any idea how many people have died outside the walls?! - Y-Yeah, I know! - Then! Eren."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,"Why do you want to go out there? I want to know what the outside world is like! I don't want to live my entire life in ignorance inside the walls! Plus If no one else is willing to take their place, then the lives of all who've died will be for nothing! I see."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Grisha Yeager,"When I get back, I'll show you the basement that I've kept secret all this time."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,"Joining the Scout Regiment is a stupid idea! Huh?! Stupid?! People who don't mind living like livestock are the stupid ones, if you ask me! Eren! Mikasa."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Carla Yeager,"If anything ever happens, you need to be there for each other! Mm."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Armin Arlert,"What's the matter, heretic?! If you don't like it, let's see you hit back! Y-Yeah, right! That would be stooping to your level! Say what?! You know I'm right! That's why you have to resort to violence! Because you can't argue back! Which means you concede defeat to me, does it not?! Shut up, smart-ass! Stop that! It's Eren! - That Idiot's back for more?! - Does he want his ass kicked?! We'll tear you a new one! M-Mikasa's with him! S-Screw this! Let's get outta here! One look at me and they ran off! No, it was Mikasa they saw Oww! Hey! You Okay."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Armin Arlert,I said humanity needs to venture into the outside world at some point and then they beat me up and called me a heretic.
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Armin Arlert,"Damn Why does everyone look down on people just for wanting to go outside?! Well, because we've had a hundred years of peace by staying inside the walls."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Armin Arlert,They're worried that going outside carelessly will invite them inside the walls.
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Armin Arlert,The royal government's policies have made having any interest in the outside world a taboo.
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,"Which reminds me, I can't believe you told my parents! Huh? I never agreed to help."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Armin Arlert,"Indeed, I think people are crazy if they think we'll be safe inside these walls forever."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,"Mommy! Just because the walls haven't fallen for a hundred years doesn't guarantee that they won't fall today And yet Wh-What was that?! An explosion?! - That way! - Did something fall?! I'm not really sure Hey, Armin! What is it?! What do you see?! It can't be! Th-That wall is fifty meters high! It's one of them A Titan! L-it opened a hole in the wall They're inside! The Titans have gotten inside! We need to run too! Eren! My house is in that direction! Mom! Mikasa! It's all over Countless Titans are going to overrun the city! It couldn't have hit our home! Just around this corner our house is standing there, like always! Mom! Mom! - Eren! - Mikasa! Grab that end! We gotta move this pillar! Hurry, Mikasa! I know! The Titans have gotten inside, haven't they? Eren! Take Mikasa and run away! Hurry! I want to! So hurry and get out of there! The debris has crushed my legs Even if I could get out, I wouldn't be able to run."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Carla Yeager,"I'll carry you, then! Why don't you ever listen to your mother?! You can at least do this one last thing! Mikasa! No No! If you don't go, all three of us will Hannes! Take the children and get out of here! Don't go underestimatin' me, Carla."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Carla Yeager,"I'm gonna slaughter these Titans and save all three of ya! Wait! Don't fight them! Yeah, I could save those two for sure."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Carla Yeager,"Hannes! What are you doing?! - Thank you - Hey! Mom's still! Eren! Mikasa! You have to survive! Don't go Stop! Humanity was suddenly reminded that day of the terror of being at their mercy of the humiliation of being trapped inside a cage Your dreams are where your heart is They're more fragile than life itself Over and over you cast them aside, only to find more Now, rest in peace Pounding impulses defile the things we wish for and the more we forget the more we remember again In this beautiful, cruel world all I can do is ask why we're still alive Oh, with our strength and our weakness what are we going to protect if there's no sense to anything anymore? Shiganshina falls."
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Eren Yeager,"However Unknown are the names of the flowers that have been trampled Birds have fallen to the earth and long for the wind Prayers won't solve anything Only the will to fight can change the here and now! O pigs who laugh at the resolve to walk over corpses to move forward Livestock complacency? False prosperity? Give us the freedom of dying, starving wolves! The humiliation of being caged is what triggers us to fight back We hunters slaughter prey beyond the castle walls, consumed with surging bloodlust, as our crimson bows and arrows pierce scarlet holes into the twilight Till that time I had been a wretched soul, and wholly giv'n to greed! Now, as thou see'st, I'm punished for it here! What avarice doth is here made manifest, in this purgation of converted souls! Nor hath this Mount a penalty more bitter! Stop! Let me go! O Avarice! Thou hast to thyself so drawn my race, that ev'n for its own flesh it careth not! What more canst thou do with us?! O Avarice! Thou hast to thyself Eren! What are you doing?! We were so close to saving Mom! Why couldn't you mind your own business?! - We were so close to saving her! - Knock it off, dammit! Eren! Eren."
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Hannes,You couldn't save your mother because you lacked the strength.
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Hannes,And I I couldn't stand up to the Titan because I lacked the courage! I'm sorry.
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Eren Yeager,I'm sorry to interrupt! A courier horse has just arrived! Titans have breached Wall Maria and entered its interior! It's over It's all over The Titans are going to devour humanity again This is the end? I'll never see that house ever again Why?! Why'd I argue for no reason like that?! Why was that all I could do?! And now Mom's gone! She's never coming back! Why?! Because you lacked the strength.
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Eren Yeager,It's because I'm weak Because humans are weak ls crying the only thing the weak can do?! I'm going to Eren.
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Eren Yeager,"What's gotten into you, Eren? Eren drive them out! I'm going to drive out every last one from this world! Eren The same year, the central government made the decision to withdraw all of humanity's domain behind Wall Rose."
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Grisha Yeager,"Eren Carla Mikasa Please be all right! Eren! Eren! Eren! Eren! Dad! Stop, Dad! What are you trying to do?! Just give me your arm! No! Mom's death has made you go crazy! Eren! Let go, Dad! It's for your own sake! What are you talking about?! Listen! Don't forget the key! You must reach it! Until you learn the truth someday! Eren."
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Armin Arlert,"- Hey! Get in line, will ya?! - Shut up! I ain't eaten anything since last night! We can't say we've survived just yet."
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Armin Arlert,Eren! Mikasa! Armin Here! Just in time! My grandpa got us some by saying it was for children! Thank you.
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Armin Arlert,"Oww! What the hell?! You damn kid! You don't know what it's like! You've never even seen it! You've never seen what the Titans do to people! Shut up! I apologize! He's just hungry and irritable! That's why he so rudely lashed out at an adult I'm very sorry! Man It's 'cause of us that you guys aren't starving to death, you know! Even you kids oughta be thankful to us! Of course! Damn I refuse to let them take care of me."
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Eren Yeager,"To Wall Maria! I'm going to destroy every last Titan! Eren You're not being serious, are you? I'm serious! I'm not like those guys who do nothing but act tough inside the walls! I don't need this crap! Eren! You'll starve to death! Doesn't it bother you at all?! It's because we take everyone's charity that we can't beat the Titans! It's impossible! There is no beating them! All we can do is live inside the walls! If we try anything, we'll die! Just like my mom and dad! So you're just gonna grovel to them then?! That's not shameful to you?! There's There's nothing we can do for now! That's just an excuse! If you wanna live like livestock forever, go ahead! You wimp! Mikasa If Armin's a wimp, then so are we."
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Mikasa Ackerman,"Whether it was running from the Titans or fleeing the town, we didn't manage anything on our own."
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Mikasa Ackerman,There's no way such powerless people can defeat even a single one of those Titans.
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Eren Yeager,"If we could just subdue them, our place in the world could be ours again."
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Armin Arlert,"I'm going to gain the strength to fight the Titans! Me too Armin?! Me too! I will, too."
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Eren Yeager,Mikasa! You don't need to! You said yourself staying alive is what's important! Yes.
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Keith Shadis,"The 104th Cadet Corps Class entrance ceremony will now begin! You have the misfortune of having me, Keith Sadies, as your commandant! I do not welcome you warmly! In your current state, you'd be nothing but food for the Titans! You're mere livestock! You're less than livestock! Over the next three years, we're going to train you worthless nothings and teach you how to fight Titans! Three years from now, when you come face-to-face with the Titans, will you still be fodder for them?! Will you serve as an honorable barrier that protects the king?! Or will you be a glorious soldier for humanity that drives the Titans out! It's up to you to decide! Yes."
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,Eren Yeager,"I'll drive out every last Titan! Your dreams are where your heart is They're more fragile than life itself Over and over you cast them aside, only to find more Now, rest in peace Pounding impulses defile the things we wish for and the more we forget the more we remember again In this beautiful, cruel world all I can do is ask why we're still alive Oh, with our strength- and our weakness what are we going to protect if there's no sense to anything anymore? He fails as a soldier."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Keith Shadis,"Unknown are the names of the flowers that have been trampled Birds have fallen to the earth and long for the wind Prayers won't solve anything Only the will to fight can change the here and now! O pigs who laugh at the resolve to walk over corpses to move forward Livestock complacency? False prosperity? Give us the freedom of dying, starving wolves! The humiliation of being caged is what triggers us to fight back We hunters slaughter prey beyond the castle walls, consumed with surging bloodlust, as our crimson bows and arrows pierce scarlet holes into the twilight Hey, you! Sir! Who the hell are you?! Armin Arlelt, from Shiganshina District! I see! That's a ridiculous name! Did your parents give it to you?! My grandfather did, Sir! Arlelt! Why are you here?! To help humanity achieve victory! That's wonderful to hear! We can feed you to the Titans! Third row, about face! Who the hell are you?! Sir! Thomas Wagner, from Trost District! I can't hear you! - Thomas Wagner - Can't hear you! - Look at them go."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Keith Shadis,"No! You're from a pigsty! You're less than livestock! Yes, Sir! I am less than livestock! - No! - But what's all that intimidation for? It's a rite of passage."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Keith Shadis,"We revert them to a blank slate through the use of self-denial, after which we mold them into proper soldiers."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Keith Shadis,- Change it at once! Why are you here?! - This is one step in that process.
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Keith Shadis,"Who the hell are you?! Jean Kirschtein, from Trost District! Why are you here?! To join the Military Police Regiment and live in the interior! Oh."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Keith Shadis,"You wanna live in the interior, do you? Yes! Who said you could sit?! If you can't handle this, you can forget about the Military Police! Who the hell are you?! Why are you here?! Marco Bodt of Jinae, on the south side of Wall Rose! I want to join the Military Police Regiment and give life and limb to the king! I see."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Keith Shadis,"But, just so you know The king doesn't want your lousy life or limbs."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Keith Shadis,"You're next! Who the hell are you?! Conny Springer! I'm from Ragako Village on the south side of Wall Rose! You have it backwards, Conny Springer! It was the first thing you were taught! This salute expresses your resolve to give your heart to the people! Is your heart on your right side?! Hey, you."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Keith Shadis,"What do you think you're doing? I'm talking to you! Who the hell are you?! Sasha Braus from Dauper Village, on the south side of Wall Rose! Sasha Braus What is that you're holding in your right hand? A steamed potato, Sir! I found one in the cookhouse that was ready to eat, so I couldn't help myself! You stole it? Why? Why did you decide to eat it now? I felt it would be a waste to let it get cold, so I elected to eat it now."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Sasha Blouse,"Why did you eat the potato? Are you asking me why people eat potatoes, Sir? Here's half of it for you."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Eren Yeager,"Still, being told to run until she's on the verge of death didn't seem to bother her quite as much as being told she has to skip meals."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Connie Springer,"Dauper's a small hunting village in the mountains, isn't it? What's that? They're dropouts."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Connie Springer,"I can't believe anyone would want to pick up rocks and pull plants again Come to think of it, we haven't heard anything about where you're from."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Eren Yeager,"That means You were there that day, weren't you? H-Hey! Did you see the Colossal Titan?! Y-Yeah Yes, I saw it."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Eren Yeager,"What?! I heard it stepped over the wall! Me too! That's what they said in my village too! No, it wasn't that big."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Eren Yeager,"What did it look like?! It had a huge mouth, and almost no skin."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Eren Yeager,"What about the Armored Titan that broke Wall Maria?! That's what people call it, but it looked like an ordinary Titan to me."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Marco Bodt,"Th-Then, what are ordinary Titans like?! Let's spare him the questions, everyone."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Jean Kirstein,"Sorry for asking It's not like that! Titans aren't actually that big of a deal! Once we've mastered omni-directional mobility gear, they'll be nothing to us! We finally get to train as soldiers."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Eren Yeager,"I'm going to join the Scout Regiment and drive the Titans out of this world! I'm gonna slaughter them! Whoa, what are you, crazy? Did you just say you're gonna join the Scout Regiment? Yeah, that's right."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Eren Yeager,"Aren't you the one who wants to join the Military Police and live the easy life? I'm all about being honest, you see."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Jean Kirstein,"It's much nicer than being, say, a loser who acts tough but is actually scared shitless."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Eren Yeager,"H-Hey, you! Uhh, err, umm I've just never seen anyone who looks like you before S-Sorry! You have very pretty black hair."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Eren Yeager,"That again? Anyway, don't you think your hair's too long? It could cause an accident during ODM training, you know."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Mikasa Ackerman,"But how short should I make it? H-Hey! Don't mess with other people's clothes! What did you wipe on me?! My trust in others Finally done This is! Bread! It's not much, but I saved it for you."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Sasha Blouse,"What are you two doing? Umm, she's been running non-stop all this time, so So you're trying to do something ""nice,"" huh? Huh?! Did you do it for Potato Girl's sake? Was what you gained worth the effort it took? Well, whatever."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Ymir,"Are you trying to be nice, too? I'm doing this so that she'll owe me."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Ymir,"We'll begin by determining your aptitude! If you can't do this, you're not even fit to be bait! You'll be sent off to the fields! These are only just the bare fundamentals."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Keith Shadis,"Still, you can determine a person's knack for omni-mobility at this stage."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Keith Shadis,"Umm, what about him? Now that's the very definition of aptitude."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Keith Shadis,Some people might have plenty of motivation yet turn out to be less-than-capable.
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Keith Shadis,"What are you doing, Eren Jaeger?! Straighten yourself up! What the?! How do I work this thing?! This can't be for real Just follow the basics and you'll be able to do it."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Mikasa Ackerman,"Focus on your front and back balance, then slowly place your weight into the belts on your waist and feet."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Eren Yeager,Isn't he the one who said he was gonna slaughter all the Titans yesterday? I guess it's off to the fields for him tomorrow.
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Armin Arlert,I'm pathetic There's no way I can wipe them out like this You should just forget about that altogether.
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Mikasa Ackerman,"Hey, now! I saw what happened that day! Do you really think you can just convince me to quit?! Still, it doesn't matter how determined you are."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Mikasa Ackerman,Huh? Why not?! Because you don't get to decide if you're fit to be a soldier or not.
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Mikasa Ackerman,"So, umm What you're saying is that I can have that? The trick to posture control? Sorry, but I'm gifted."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Connie Springer,"If anything, I'd like to hear your trick for staying sane after putting on such a pathetic spectacle."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Jean Kirstein,"C'mon, guys! I'm begging you here! But didn't you say yesterday, ""If you can't cut it here, you have to leave""? Or, wait."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Jean Kirstein,"Was it, ""If you don't got talent, you have to leave""? Which was it again? Please! I heard you're both really good at it! Bertholdt! Reiner! Sorry, but I don't think there are any tricks to just hanging there."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Armin Arlert,"You two are, umm, from Shiganshina, aren't you? Yeah Then you know how terrifying the Titans are."
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,Armin Arlert,"So why do you want to be soldiers? Unlike Eren, I didn't witness the Titan threat firsthand."
