character,season,episode,title,airdate,rating,n_lines,md_F1_mean,md_F2_mean,inout_F1_mean,ep_order,season_f
Armin Arlert,1,10,Response - The Struggle for Trost (6),2013-06-09,8.2,13,0.06449093511846976,0.1489517631032088,0.08570990796019784,17,Season 1
Armin Arlert,1,11,Idol - The Struggle for Trost (7),2013-06-16,7.9,7,0.9235466439612882,0.7434718987873018,0.6768375361226419,18,Season 1
Armin Arlert,1,12,Wound - The Struggle for Trost (8),2013-06-23,7.9,3,0.19566746010538597,0.12771013067554499,1.1455071084295487,19,Season 1
Armin Arlert,1,14,Can't Look Into His Eyes - Eve of the Counterattack (1),2013-07-14,8.2,2,-0.3038675317621579,-0.002680843870773969,-0.4378874207322911,20,Season 1
Armin Arlert,1,16,What Needs to Be Done Now - Eve of the Counterattack (3),2013-07-28,8,6,0.6268087468804965,0.30895269836123734,-0.6201616767045183,2,Season 1
Armin Arlert,1,17,Female Titan - The 57th Exterior Scouting Mission (1),2013-08-04,8.2,23,-0.14739460838856483,-0.2700185524136836,-0.0978189071258587,21,Season 1
Armin Arlert,1,18,Forest of Giant Trees - The 57th Exterior Scouting Mission (2),2013-08-11,8.7,7,-0.2940338245403615,0.08002264505488818,-0.10538461119829923,22,Season 1
Armin Arlert,1,20,Erwin Smith - The 57th Exterior Scouting Mission (4),2013-08-25,8.7,9,-0.09382756616074452,0.1573251437419756,-0.022745332127066236,23,Season 1
Armin Arlert,1,21,Crushing Blow - The 57th Exterior Scouting Mission (5),2013-09-01,8.9,8,-0.020825210814458178,-0.3019815148634699,0.02110527425107428,24,Season 1
Armin Arlert,1,22,The Defeated - The 57th Exterior Scouting Mission (6),2013-09-08,9,1,-0.33563475829483863,-0.4483024216590574,-1.1289768617876867,25,Season 1
Armin Arlert,1,23,Smile - Assault on Stohess (1),2013-09-15,8.4,15,-0.2457113871988911,-0.14505703026992314,0.013294256240106292,3,Season 1
Armin Arlert,1,24,Mercy - Assault on Stohess (2),2013-09-22,8.6,13,-0.07198992138034285,-0.13292945243190765,0.1987577065765857,26,Season 1
Armin Arlert,1,25,Wall: Raid on Stohess District (3),2013-09-29,8.7,3,-0.31803744698090236,-0.37311961586245873,-0.17251165206096833,27,Season 1
Armin Arlert,2,1,Beast Titan,2017-04-01,9.3,1,-0.33563475829483863,-0.4483024216590574,1.1809474398939341,28,Season 2
Armin Arlert,2,2,I'm Home,2017-04-08,9,1,-0.33563475829483863,-0.4483024216590574,-1.1289768617876867,29,Season 2
Armin Arlert,2,5,Historia,2017-04-29,9.1,1,-0.33563475829483863,-0.4483024216590574,-1.0239389968291144,30,Season 2
Armin Arlert,2,6,Warrior,2017-05-06,9.7,8,-0.34390900627273036,-0.250377200979572,-0.5712705816366753,31,Season 2
Armin Arlert,2,7,Close Combat,2017-05-13,9.7,6,0.39566005230412415,0.18747249551015352,0.02134139271431157,4,Season 2
Armin Arlert,2,8,The Hunters,2017-05-20,8.8,9,-0.06661143554301123,-0.34095269208625223,-0.40301736901660956,32,Season 2
Armin Arlert,2,9,Opening,2017-05-27,8.8,1,-0.25509860648416915,-0.18624367525001137,0.5948958637971108,33,Season 2
Armin Arlert,2,11,Charge,2017-06-10,9.3,3,0.09981724692101591,-0.29269493142657166,-0.16407927900639993,34,Season 2
Armin Arlert,2,12,Scream,2017-06-17,9.4,1,-0.33563475829483863,-0.4483024216590574,-1.1289768617876867,35,Season 2
Armin Arlert,3,1,Smoke Signal,2018-07-22,8.6,1,-0.33563475829483863,-0.4483024216590574,1.0493293263370727,36,Season 3
Armin Arlert,3,2,Pain,2018-07-29,8.8,4,-0.24606474303853587,0.2860576433335461,-0.4069083308699214,37,Season 3
Armin Arlert,3,6,Sin,2018-08-26,9,3,-0.33563475829483863,-0.4483024216590574,-0.29783693412086126,38,Season 3
Armin Arlert,3,7,Wish,2018-09-02,9.2,2,-0.33563475829483863,-0.4483024216590574,-5.949595451654188e-4,39,Season 3
Armin Arlert,3,8,Outside the Walls of Orvud District,2018-09-09,9.2,2,-0.33563475829483863,-0.4483024216590574,-0.5036964775107218,40,Season 3
Armin Arlert,3,9,Ruler of the Walls,2018-09-16,9.1,4,-0.20079838373006265,0.06264424798987704,-0.4315631409413648,41,Season 3
Armin Arlert,3,11,Bystander,2018-10-07,9.1,7,0.05888231654993505,-0.2893607302942839,-0.6843382571636313,42,Season 3
Armin Arlert,3,12,Night of the Battle to Retake the Wall,2018-10-14,9.1,7,-0.33563475829483863,-0.4483024216590574,-0.14476976790284626,43,Season 3
Armin Arlert,3,13,The Town Where Everything Began,2019-04-28,9.3,14,-0.23228625330863995,-0.32405873933164336,0.37134670537588105,44,Season 3
Armin Arlert,3,14,Thunder Spears,2019-05-05,9.3,11,0.1365881043164479,-0.12402963054050191,0.5904473429457169,45,Season 3
Armin Arlert,3,15,Descent,2019-05-12,9.4,4,0.337321714511736,-0.06924546382627254,-0.39201355040257707,46,Season 3
Armin Arlert,3,16,Perfect Game,2019-05-19,9.6,2,-0.33563475829483863,-0.4483024216590574,-0.13542238543842647,47,Season 3
Armin Arlert,3,17,Hero,2019-05-26,9.8,9,-0.1817341604985502,-0.3283295808274116,-0.4893783480747276,48,Season 3
Armin Arlert,3,19,The Basement,2019-06-09,9.1,7,-0.2939627743551379,-0.28198064794931027,0.0094481116761796,49,Season 3
Armin Arlert,3,20,That Day,2019-06-16,9.6,1,-0.33563475829483863,-0.4483024216590574,-1.1289768617876867,50,Season 3
Armin Arlert,3,21,The Attack Titan,2019-06-23,9.6,1,-0.33563475829483863,-0.4483024216590574,-1.1289768617876867,51,Season 3
Armin Arlert,3,22,Beyond the Wall,2019-06-30,9.4,3,-0.33563475829483863,-0.4483024216590574,-1.1289768617876867,52,Season 3
Armin Arlert,4,7,Assault,2021-01-24,9.6,1,-0.33563475829483863,-0.4483024216590574,-0.010034206790618238,53,Season 4
Armin Arlert,4,9,Brave Volunteers,2021-02-07,9.2,11,-0.27983034967478565,-0.24716720333138342,0.2139563292098843,54,Season 4
Armin Arlert,4,14,Violence,2021-03-21,9,3,-0.28839498440612166,0.33179828137888334,0.20046923293805452,55,Season 4
Armin Arlert,4,16,Heaven and Earth,2021-03-28,9.1,2,-0.33905963320519217,-0.3235571568143495,-1.1289768617876867,56,Season 4
Armin Arlert,4,17,Judgement,2022-01-09,9.5,2,0.5921768205515898,0.811119248664808,1.4208127307457676,57,Season 4
Armin Arlert,4,18,Sneak Attack,2022-01-16,9.5,3,0.7052146810080265,0.9426979169550984,0.7636661405644295,58,Season 4
Armin Arlert,4,22,Thaw,2022-02-13,9.1,5,-0.049607188338154105,-0.17701283695165518,-0.3049855822408697,59,Season 4
Armin Arlert,4,23,Sunset,2022-02-20,9,9,-0.026005064963020446,-0.30367687411195066,-0.5776943676946592,6,Season 4
Armin Arlert,4,24,Pride,2022-02-27,8.6,1,-0.33563475829483863,-0.4483024216590574,-1.1289768617876867,60,Season 4
Armin Arlert,4,25,Night of the End,2022-03-06,8.7,1,-0.33563475829483863,-0.4483024216590574,-0.3594298043720077,7,Season 4
Armin Arlert,4,26,Traitor,2022-03-13,9.3,3,-0.23798181807210117,0.35072139659832796,0.3206600122596918,8,Season 4
Bertholdt Hoover,1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,7.8,2,-0.33563475829483863,-0.4483024216590574,-0.8492411980384196,12,Season 1
Bertholdt Hoover,2,4,Soldier,2017-04-22,9.1,1,-0.33563475829483863,-0.4483024216590574,-1.1289768617876867,61,Season 2
Bertholdt Hoover,2,5,Historia,2017-04-29,9.1,1,-0.33563475829483863,-0.4483024216590574,-0.010034206790618238,30,Season 2
Bertholdt Hoover,2,6,Warrior,2017-05-06,9.7,3,1.5795606047399753,0.7568384647197629,1.0839142381784024,31,Season 2
Bertholdt Hoover,2,9,Opening,2017-05-27,8.8,2,-0.2953666823895039,-0.3172730484545344,0.14752259064724033,33,Season 2
Bertholdt Hoover,2,10,Children,2017-06-03,9.1,1,0.9689344700610878,0.3693943994167088,-0.4644676693305801,62,Season 2
Bertholdt Hoover,2,11,Charge,2017-06-10,9.3,6,-0.08926860618264468,0.14138910769379204,0.4742773746639456,34,Season 2
Bertholdt Hoover,2,12,Scream,2017-06-17,9.4,2,-0.2355523893339718,0.17602106313430238,0.012695164753979249,35,Season 2
Bertholdt Hoover,3,15,Descent,2019-05-12,9.4,8,0.38405603888674233,0.1314690094522028,0.11965846823939738,46,Season 3
Bertholdt Hoover,3,17,Hero,2019-05-26,9.8,7,0.036899840090706536,-0.252094383827226,-0.5265065034183618,48,Season 3
Bertholdt Hoover,3,18,Midnight Sun,2019-06-02,9.6,2,-0.19724154535267696,0.9279633774430873,0.9177112127802113,63,Season 3
Bertholdt Hoover,4,3,The Door of Hope,2020-12-20,8.8,1,-0.33563475829483863,-0.4483024216590574,0.5948958637971108,5,Season 4
Bertholdt's father,4,5,Declaration of War,2021-01-10,9.5,1,0.08262540762431854,0.5533310447458306,0.09500365816795414,64,Season 4
Boris Feulner,1,23,Smile - Assault on Stohess (1),2013-09-15,8.4,6,-0.35491103235822863,0.06989165711963832,-0.5794353879340488,3,Season 1
Carla Yeager,1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,8.4,7,-0.27453069041965356,-0.23411216159966083,-0.0039606204059705295,10,Season 1
Carla Yeager,1,22,The Defeated - The 57th Exterior Scouting Mission (6),2013-09-08,9,1,-0.33563475829483863,-0.4483024216590574,0.09500365816795414,25,Season 1
Carla Yeager,3,11,Bystander,2018-10-07,9.1,4,-0.33563475829483863,-0.4483024216590574,-0.4033782361748759,42,Season 3
Carla Yeager,3,19,The Basement,2019-06-09,9.1,1,-0.33563475829483863,-0.4483024216590574,-1.1289768617876867,49,Season 3
Carla Yeager,4,20,Memories of the Future,2022-01-30,9.7,3,-0.34020125817531,-0.28197540186611353,-0.7121232722697101,65,Season 4
Colt Grice,4,1,Other Side of the Sea,2020-12-06,9,5,-0.05514044343003004,-0.36425823136582514,-0.27488626063131627,66,Season 4
Colt Grice,4,2,Midnight Train,2020-12-13,8.7,5,-0.25509860648416915,-0.18624367525001145,0.7754609997840343,67,Season 4
Colt Grice,4,6,The War Hammer Titan,2021-01-17,9.6,2,-0.33563475829483863,-0.4483024216590574,-0.9973587482308253,68,Season 4
Colt Grice,4,8,Assassin's Bullet,2021-01-31,9.2,1,-0.33563475829483863,-0.4483024216590574,-1.0239389968291144,69,Season 4
Colt Grice,4,11,Impostors,2021-02-21,8.6,1,-0.33563475829483863,-0.4483024216590574,0.3050793880850989,70,Season 4
Colt Grice,4,17,Judgement,2022-01-09,9.5,2,-0.33563475829483863,-0.4483024216590574,-0.5169866018098663,57,Season 4
Colt Grice,4,18,Sneak Attack,2022-01-16,9.5,2,0.31754324952894314,-0.21489118631032875,-0.9714200643498281,58,Season 4
Colt Grice,4,19,Two Brothers,2022-01-23,9.6,2,2.5741249139176836,1.265312143072069,1.3777330455119345,71,Season 4
Colt Grice,4,21,"From You, 2,000 Years Ago",2022-02-06,9.7,1,-0.33563475829483863,-0.4483024216590574,-0.9973587482308252,72,Season 4
Connie Springer,1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,7.8,3,-0.33791800823507434,-0.3651389117625855,-0.38301509178964105,12,Season 1
Connie Springer,1,4,The Night of the Closing Ceremony - Humanity's Comeback (2),2013-04-28,8.2,2,-0.33563475829483863,-0.4483024216590574,-0.7176230844815582,1,Season 1
Connie Springer,1,6,The World the Girl Saw - The Struggle for Trost (2),2013-05-12,8,1,1.4816975636088798,3.0682946436803245,1.9239142487113243,14,Season 1
Connie Springer,1,7,Small Blade - The Struggle for Trost (3),2013-05-19,8.6,2,-0.2987915572998574,-0.19252778360982647,0.67720435721108585,15,Season 1
Connie Springer,1,8,I Can Hear His Heartbeat - The Struggle for Trost (4),2013-05-26,8.8,4,1.3899235742888503,0.5795220449016605,0.3712092272221756,16,Season 1
Connie Springer,1,9,Whereabouts of His Left Arm - The Struggle for Trost (5),2013-06-02,8.5,1,-0.33563475829483863,-0.4483024216590574,1.2859853048525067,73,Season 1
Connie Springer,1,12,Wound - The Struggle for Trost (8),2013-06-23,7.9,1,-0.3424845081155457,-0.1988118919696416,0.3050793880850989,19,Season 1
Connie Springer,1,16,What Needs to Be Done Now - Eve of the Counterattack (3),2013-07-28,8,7,-0.32438484907783405,-0.3607405506894353,0.13260883346991453,2,Season 1
Connie Springer,1,18,Forest of Giant Trees - The 57th Exterior Scouting Mission (2),2013-08-11,8.7,1,-0.33563475829483863,-0.4483024216590574,0.09500365816795414,22,Season 1
Connie Springer,1,20,Erwin Smith - The 57th Exterior Scouting Mission (4),2013-08-25,8.7,1,-0.33563475829483863,-0.4483024216590574,-0.3594298043720077,23,Season 1
Connie Springer,2,2,I'm Home,2017-04-08,9,2,-0.33563475829483863,-0.4483024216590574,-0.5334860384454105,29,Season 2
Connie Springer,2,4,Soldier,2017-04-22,9.1,13,0.34323682301968733,-0.22242849965173503,-0.24064314032818515,61,Season 2
Connie Springer,2,5,Historia,2017-04-29,9.1,3,0.07068861304389042,-0.29688433699978173,-0.5695055342891525,30,Season 2
Connie Springer,2,8,The Hunters,2017-05-20,8.8,1,-0.33563475829483863,-0.4483024216590574,1.4771825402787455,32,Season 2
Connie Springer,2,10,Children,2017-06-03,9.1,2,-0.3229382909653483,0.16345284641467225,0.476567874539394,62,Season 2
Connie Springer,2,11,Charge,2017-06-10,9.3,6,-0.09485389983783846,0.016800336553847498,0.3755323412023418,34,Season 2
Connie Springer,3,1,Smoke Signal,2018-07-22,8.6,5,-0.30669949785803613,-0.21317715934941348,-0.17765641935602297,36,Season 3
Connie Springer,3,8,Outside the Walls of Orvud District,2018-09-09,9.2,1,-0.3493342579362528,0.050678637719774204,0.7860930992233498,40,Season 3
Connie Springer,3,11,Bystander,2018-10-07,9.1,4,-0.06752804890568943,0.5298817070533974,-0.239176376587445,42,Season 3
Connie Springer,3,15,Descent,2019-05-12,9.4,1,3.7082179572207457,2.58133217841668,1.127786942697356,46,Season 3
Connie Springer,4,8,Assassin's Bullet,2021-01-31,9.2,4,0.059146062907959346,-0.2893828769980796,-0.7442033330798472,69,Season 4
Connie Springer,4,9,Brave Volunteers,2021-02-07,9.2,3,0.5745498517433462,0.30873341665790843,0.3055070978966269,54,Season 4
Connie Springer,4,13,Children of the Forest,2021-03-07,9.1,1,-0.33563475829483863,-0.4483024216590574,-1.1289768617876867,74,Season 4
Connie Springer,4,16,Heaven and Earth,2021-03-28,9.1,3,-0.26524551303909344,-0.14757119847266273,-0.1990919006592574,56,Season 4
Connie Springer,4,17,Judgement,2022-01-09,9.5,1,-0.24760618831734055,1.908707366284334,1.845456632351041,57,Season 4
Connie Springer,4,18,Sneak Attack,2022-01-16,9.5,1,-0.33563475829483863,-0.4483024216590574,-0.30626930717542966,58,Season 4
Connie Springer,4,22,Thaw,2022-02-13,9.1,1,-0.1951117041356209,0.824286660227282,0.8126733478216389,59,Season 4
Connie Springer,4,23,Sunset,2022-02-20,9,1,-0.1745624546734997,0.07581507115903457,-0.14935407445486296,6,Season 4
Connie Springer,4,24,Pride,2022-02-27,8.6,8,-0.010385309988303185,-0.17961933695619242,-0.7777497983738395,60,Season 4
Connie Springer,4,26,Traitor,2022-03-13,9.3,1,-0.1763492419651369,0.4266894215373435,-0.43788742073229103,8,Season 4
Daz,4,26,Traitor,2022-03-13,9.3,1,-0.33563475829483863,-0.4483024216590574,0.46327775024024936,8,Season 4
Dieter Ness,1,18,Forest of Giant Trees - The 57th Exterior Scouting Mission (2),2013-08-11,8.7,2,1.6010768979960008,0.6693963725709466,0.3449497609825325,22,Season 1
Dieter Ness,1,22,The Defeated - The 57th Exterior Scouting Mission (6),2013-09-08,9,3,-0.23687465942876762,-0.04762060487391619,0.4982903718931068,25,Season 1
Dimo Reeves,1,6,The World the Girl Saw - The Struggle for Trost (2),2013-05-12,8,2,0.48876752728200684,1.1615204246649922,0.4107588177609632,14,Season 1
Dimo Reeves,3,1,Smoke Signal,2018-07-22,8.6,2,-0.36606458120218033,0.10831769591936652,-1.0764579293084005,36,Season 3
Dimo Reeves,3,2,Pain,2018-07-29,8.8,10,-0.19028816597619747,-0.0888766660025219,-0.23930483840589734,37,Season 3
Dina Fritz,3,20,That Day,2019-06-16,9.6,4,-0.27507197735030614,0.3343520309536673,0.4519130644679508,50,Season 3
Dina Fritz,4,15,Sole Salvation,2021-03-21,9.5,3,-0.12206287832747824,0.484437135683938,0.3316596366833881,75,Season 4
Dita Ness,1,16,What Needs to Be Done Now - Eve of the Counterattack (3),2013-07-28,8,2,-0.2962600760353225,-0.14183587326537994,-0.46446766933058015,2,Season 1
Dita Ness,1,17,Female Titan - The 57th Exterior Scouting Mission (1),2013-08-04,8.2,5,-0.2513430785454168,0.02241923444568065,-0.11720115024999933,21,Season 1
Dita Ness,1,18,Forest of Giant Trees - The 57th Exterior Scouting Mission (2),2013-08-11,8.7,1,-0.33563475829483863,-0.4483024216590574,0.38482013387996605,22,Season 1
Dot Pixis,1,5,First Battle - The Struggle for Trost (1),2013-05-05,8.4,2,-0.33563475829483863,-0.4483024216590574,0.3841785691626741,13,Season 1
Dot Pixis,1,10,Response - The Struggle for Trost (6),2013-06-09,8.2,8,0.25011014683015187,0.12454705080688178,-0.5745931127114614,17,Season 1
Dot Pixis,1,11,Idol - The Struggle for Trost (7),2013-06-16,7.9,11,0.3553833573572335,0.5442771493514922,0.5315203468697742,18,Season 1
Dot Pixis,1,12,Wound - The Struggle for Trost (8),2013-06-23,7.9,5,0.6575142317965171,1.0588551016334646,0.6538862579871563,19,Season 1
Dot Pixis,1,13,Primal Desire - The Struggle for Trost (9),2013-06-30,8.3,1,2.6752747429660864,2.2990383615106924,1.8188763837527517,76,Season 1
Dot Pixis,1,14,Can't Look Into His Eyes - Eve of the Counterattack (1),2013-07-14,8.2,3,-0.33563475829483863,-0.4483024216590574,-0.2513969782327796,20,Season 1
Dot Pixis,2,2,I'm Home,2017-04-08,9,2,-0.33563475829483863,-0.4483024216590574,0.7265139773539723,29,Season 2
Dot Pixis,2,8,The Hunters,2017-05-20,8.8,5,-0.05461673155274375,-0.21482045462576438,-0.45761126878944564,32,Season 2
Dot Pixis,2,12,Scream,2017-06-17,9.4,1,-0.35618400775695985,0.30016916740919003,0.8126733478216389,35,Season 2
Dot Pixis,3,3,Old Story,2018-08-05,8.7,6,-0.05258751532991279,0.1698701286554434,-0.45117754503143553,77,Season 3
Dot Pixis,3,4,Trust,2018-08-12,8.6,3,0.07297186298412611,-0.38004784689625365,0.5886030323001423,78,Season 3
Dot Pixis,3,5,Reply,2018-08-19,8.9,16,0.4172601479405176,0.4403715423713491,0.5465253766971789,79,Season 3
Dot Pixis,3,6,Sin,2018-08-26,9,7,0.5186738284169035,0.3119856011165787,0.13640601184109868,38,Season 3
Dot Pixis,3,12,Night of the Battle to Retake the Wall,2018-10-14,9.1,1,-0.3493342579362528,0.050678637719774204,0.9442914613785004,43,Season 3
Dot Pixis,4,9,Brave Volunteers,2021-02-07,9.2,1,0.09903658658492262,1.3427340131841015,0.5683156151988217,54,Season 4
Dot Pixis,4,11,Impostors,2021-02-21,8.6,1,-0.09938666473774181,1.3904968687030077,-1.1289768617876867,70,Season 4
Dot Pixis,4,16,Heaven and Earth,2021-03-28,9.1,9,0.05211004771169889,0.5396442047340136,0.6493820831535232,56,Season 4
Dot Pixis,4,18,Sneak Attack,2022-01-16,9.5,2,-0.1823055981400254,0.5007427760376049,0.06521409723326532,58,Season 4
Eld Jinn,1,15,Special Operations Squad - Eve of the Counterattack (2),2013-07-21,8,4,-0.33943848615825634,-0.3787249069617544,-0.2720809049766604,80,Season 1
Eld Jinn,1,16,What Needs to Be Done Now - Eve of the Counterattack (3),2013-07-28,8,2,-0.3584571254753449,-0.03083733347523951,-0.8492411980384196,2,Season 1
Eld Jinn,1,19,Bite - The 57th Exterior Scouting Mission (3),2013-08-18,8.8,6,-0.09359919032563335,-0.23676075127493054,0.15216648698605248,81,Season 1
Eld Jinn,1,20,Erwin Smith - The 57th Exterior Scouting Mission (4),2013-08-25,8.7,6,-0.3438787017210397,-0.1940086371196756,0.005118707572446701,23,Season 1
Eld Jinn,1,21,Crushing Blow - The 57th Exterior Scouting Mission (5),2013-09-01,8.9,4,-0.18707872394833502,0.7017519205579609,0.8679864653968057,24,Season 1
Eren Yeager,1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,8.4,16,-0.19389420805575172,0.22582800297437647,0.07970771365855982,10,Season 1
Eren Yeager,1,2,That Day - The Fall of Shiganshina (2),2013-04-14,8,8,0.3385838211631955,0.8892554928102621,0.9684650979119747,11,Season 1
Eren Yeager,1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,7.8,16,-0.12873199403627059,-0.19238494919615626,-0.11592138618048457,12,Season 1
Eren Yeager,1,4,The Night of the Closing Ceremony - Humanity's Comeback (2),2013-04-28,8.2,14,0.11717594759885279,0.15582636480000542,0.05691305399454432,1,Season 1
Eren Yeager,1,5,First Battle - The Struggle for Trost (1),2013-05-05,8.4,6,1.6245274512849055,0.9352526534172603,0.7155772495181916,13,Season 1
Eren Yeager,1,6,The World the Girl Saw - The Struggle for Trost (2),2013-05-12,8,4,-0.2361402101364418,0.4727711149163547,-0.4265227349599924,14,Season 1
Eren Yeager,1,9,Whereabouts of His Left Arm - The Struggle for Trost (5),2013-06-02,8.5,3,1.0565396368441817,0.8224217371768364,0.8425514667362408,73,Season 1
Eren Yeager,1,10,Response - The Struggle for Trost (6),2013-06-09,8.2,19,0.09521072620410286,-0.08388954726263459,-0.44402368427806516,17,Season 1
Eren Yeager,1,11,Idol - The Struggle for Trost (7),2013-06-16,7.9,5,-0.3263772777534118,-0.14640014268783236,-0.24221948915264307,18,Season 1
Eren Yeager,1,12,Wound - The Struggle for Trost (8),2013-06-23,7.9,2,-0.2585234813945227,-0.061498410405303516,-0.14871250973757105,19,Season 1
Eren Yeager,1,13,Primal Desire - The Struggle for Trost (9),2013-06-30,8.3,3,1.0682591247134519,0.47271971803681434,0.6586282756058572,76,Season 1
Eren Yeager,1,14,Can't Look Into His Eyes - Eve of the Counterattack (1),2013-07-14,8.2,6,0.4081372844159225,0.6281533218358181,0.2749245176768176,20,Season 1
Eren Yeager,1,15,Special Operations Squad - Eve of the Counterattack (2),2013-07-21,8,12,-0.2116814960370478,-0.20162669619139253,-0.2136344504739981,80,Season 1
Eren Yeager,1,16,What Needs to Be Done Now - Eve of the Counterattack (3),2013-07-28,8,3,-0.33563475829483863,-0.4483024216590574,-0.7209833551358065,2,Season 1
Eren Yeager,1,18,Forest of Giant Trees - The 57th Exterior Scouting Mission (2),2013-08-11,8.7,2,-0.2473089030512642,-0.3405738080701824,0.4240489420601077,22,Season 1
Eren Yeager,1,19,Bite - The 57th Exterior Scouting Mission (3),2013-08-18,8.8,7,-0.08236097304247397,0.4326701213933476,-0.4588905095568093,81,Season 1
Eren Yeager,1,20,Erwin Smith - The 57th Exterior Scouting Mission (4),2013-08-25,8.7,3,-0.25738185642440486,-0.10308016535353952,0.6147555710869034,23,Season 1
Eren Yeager,1,21,Crushing Blow - The 57th Exterior Scouting Mission (5),2013-09-01,8.9,4,-0.32243677480938643,-0.3919153173116084,-0.33949461792329094,24,Season 1
Eren Yeager,1,22,The Defeated - The 57th Exterior Scouting Mission (6),2013-09-08,9,1,-0.33563475829483863,-0.4483024216590574,-0.4644676693305801,25,Season 1
Eren Yeager,1,23,Smile - Assault on Stohess (1),2013-09-15,8.4,5,-0.3411145581514043,-0.24870999790752477,-0.3945885498143022,3,Season 1
Eren Yeager,1,24,Mercy - Assault on Stohess (2),2013-09-22,8.6,3,0.8901851055420557,-0.2435386973706461,-0.8547410102502677,26,Season 1
Eren Yeager,1,25,Wall: Raid on Stohess District (3),2013-09-29,8.7,5,0.25308250082174294,-0.06376038344302296,-0.08273740206293269,27,Season 1
Eren Yeager,2,2,I'm Home,2017-04-08,9,5,-0.027411814043065637,-0.14780457373625522,0.29899286520471474,29,Season 2
Eren Yeager,2,5,Historia,2017-04-29,9.1,3,0.5260211795139169,-0.14925755086716916,0.21519443748959147,30,Season 2
Eren Yeager,2,6,Warrior,2017-05-06,9.7,5,-0.33563475829483863,-0.4483024216590574,-0.13006859776601942,31,Season 2
Eren Yeager,2,7,Close Combat,2017-05-13,9.7,14,-0.07772668245852213,0.24749764957832981,0.007641174593057767,4,Season 2
Eren Yeager,2,8,The Hunters,2017-05-20,8.8,1,-0.33563475829483863,-0.4483024216590574,0.1215839067662432,32,Season 2
Eren Yeager,2,9,Opening,2017-05-27,8.8,17,-0.03663263696635105,-0.026999127819014007,-0.009776516426898772,33,Season 2
Eren Yeager,2,10,Children,2017-06-03,9.1,3,-0.31623471994253494,0.00549914029281003,0.2704944762437694,62,Season 2
Eren Yeager,2,12,Scream,2017-06-17,9.4,4,-0.2585234813945227,-0.06149841040530352,0.3449497609825325,35,Season 2
